task_id,pass@1,pass@5,pass@10
1615_A. Closing The Gap,0.0,0.0,0.0
1581_B. Diameter of Graph,0.0,0.0,0.0
1575_K. Knitting Batik,0.0,0.0,0.0
1618_E. Singers' Tour,0.0,0.0,0.0
1594_C. Make Them Equal,0.0,0.0,0.0
1591_D. Yet Another Sorting Problem,0.0,0.0,0.0
1591_A. Life of a Flower,0.0,0.0,0.0
1582_C. Grandma Capa Knits a Scarf,0.0,0.0,0.0
1623_B. Game on Ranges,0.0,0.0,0.0
1581_A. CQXYM Count Permutations,0.0,0.0,0.0
1617_B. GCD Problem,0.0,0.0,0.0
1622_C. Set or Decrease,0.0,0.0,0.0
1607_F. Robot on the Board 2,0.0,0.0,0.0
1579_G. Minimal Coverage,0.0,0.0,0.0
1608_D. Dominoes,0.0,0.0,0.0
1601_B. Frog Traveler,0.0,0.0,0.0
1575_L. Longest Array Deconstruction,0.0,0.0,0.0
1623_C. Balanced Stone Heaps,0.0,0.0,0.0
1620_D. Exact Change,0.0,0.0,0.0
1586_I. Omkar and Mosaic,0.0,0.0,0.0
1591_B. Array Eversion,0.0,0.0,0.0
1607_A. Linear Keyboard,0.09999999999999998,0.5,1.0
1613_B. Absent Remainder,0.0,0.0,0.0
1619_H. Permutation and Queries,0.0,0.0,0.0
1607_H. Banquet Preparations 2,0.0,0.0,0.0
1586_E. Moment of Bloom,0.0,0.0,0.0
1618_B. Missing Bigram,0.0,0.0,0.0
1615_C. Menorah,0.0,0.0,0.0
1617_E. Christmas Chocolates,0.0,0.0,0.0
1620_E. Replace the Numbers,0.0,0.0,0.0
1601_A. Array Elimination,0.0,0.0,0.0
1622_E. Math Test,0.0,0.0,0.0
1604_C. Di-visible Confusion,0.0,0.0,0.0
1620_C. BA-String,0.0,0.0,0.0
1623_A. Robot Cleaner,0.0,0.0,0.0
1575_A. Another Sorting Problem,0.0,0.0,0.0
1582_F2. Korney Korneevich and XOR (hard version),0.0,0.0,0.0
1620_B. Triangles on a Rectangle,0.0,0.0,0.0
1598_D. Training Session,0.0,0.0,0.0
1617_C. Paprika and Permutation,0.0,0.0,0.0
1582_F1. Korney Korneevich and XOR (easy version),0.0,0.0,0.0
1619_F. Let's Play the Hat?,0.0,0.0,0.0
1620_F. Bipartite Array,0.0,0.0,0.0
1622_B. Berland Music,0.0,0.0,0.0
1619_G. Unusual Minesweeper,0.0,0.0,0.0
1599_H. Hidden Fortress,0.0,0.0,0.0
1580_A. Portal,0.0,0.0,0.0
1598_F. RBS,0.0,0.0,0.0
1598_E. Staircases,0.0,0.0,0.0
1594_A. Consecutive Sum Riddle,0.0,0.0,0.0
1579_A. Casimir's String Solitaire,0.0,0.0,0.0
1604_D. Moderate Modular Mode,0.0,0.0,0.0
1607_E. Robot on the Board 1,0.0,0.0,0.0
1582_A. Luntik and Concerts,0.0,0.0,0.0
1613_A. Long Comparison,0.0,0.0,0.0
1579_F. Array Stabilization (AND version),0.0,0.0,0.0
1594_E1. Rubik's Cube Coloring (easy version),0.0,0.0,0.0
1599_A. Weights,0.0,0.0,0.0
1586_D. Omkar and the Meaning of Life,0.0,0.0,0.0
1608_C. Game Master,0.0,0.0,0.0
1620_A. Equal or Not Equal,0.0,0.0,0.0
1575_J. Jeopardy of Dropped Balls,0.0,0.0,0.0
1598_C. Delete Two Elements,0.0,0.0,0.0
1623_D. Robot Cleaner Revisit,0.0,0.0,0.0
1599_J. Bob's Beautiful Array,0.0,0.0,0.0
"1582_D. Vupsen, Pupsen and 0",0.0,0.0,0.0
1619_A. Square String?,0.0,0.0,0.0
1615_E. Purple Crayon,0.0,0.0,0.0
1607_G. Banquet Preparations 1,0.0,0.0,0.0
1579_B. Shifting Sort,0.0,0.0,0.0
1606_E. Arena,0.0,0.0,0.0
1622_D. Shuffle,0.0,0.0,0.0
1619_E. MEX and Increments,0.0,0.0,0.0
1598_A. Computer Game,0.0,0.0,0.0
1586_C. Omkar and Determination,0.0,0.0,0.0
1607_C. Minimum Extraction,0.0,0.0,0.0
1599_C. Bubble Strike,0.0,0.0,0.0
1586_B. Omkar and Heavenly Tree,0.0,0.0,0.0
1613_C. Poisoned Dagger,0.0,0.0,0.0
1606_A. AB Balance,0.0,0.0,0.0
1600_E. Array Game,0.0,0.0,0.0
1606_C. Banknotes,0.0,0.0,0.0
1594_E2. Rubik's Cube Coloring (hard version),0.0,0.0,0.0
1619_D. New Year's Problem,0.0,0.0,0.0
1594_B. Special Numbers,0.0,0.0,0.0
1618_C. Paint the Array,0.0,0.0,0.0
1594_F. Ideal Farm,0.0,0.0,0.0
1618_D. Array and Operations,0.0,0.0,0.0
1600_F. Party Organization,0.0,0.0,0.0
1598_B. Groups,0.0,0.0,0.0
1618_F. Reverse,0.0,0.0,0.0
1586_A. Windblume Ode,0.0,0.0,0.0
1615_B. And It's Non-Zero,0.0,0.0,0.0
1586_F. Defender of Childhood Dreams,0.0,0.0,0.0
1608_A. Find Array,0.0,0.0,0.0
1613_E. Crazy Robot,0.0,0.0,0.0
1575_D. Divisible by Twenty-Five,0.0,0.0,0.0
1579_C. Ticks,0.0,0.0,0.0
1618_G. Trader Problem,0.0,0.0,0.0
1607_B. Odd Grasshopper,0.0,0.0,0.0
